policy,seed,type,instance,nnodes,nlps,stime,finalgap,50_gap,100_gap,200_gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_23.lp,37,130,17.26,0.0,0,0,0,optimal,0,0,17.03302761539817,17.865661295998507
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_23.lp,39,134,17.16,0.0,0,0,0,optimal,0,0,16.891276758164167,17.725111420000758
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_23.lp,59,219,20.66,0.0,0.0003090637303571512,0,0,optimal,0,0,20.453111002221704,21.30439486599971
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_23.lp,43,158,17.82,0.0,0,0,0,optimal,0,0,17.468895195052028,18.305204834001415
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_24.lp,331,515,37.25,0.0,0.001897594946513431,0.001205248191044225,0.0010111796345277475,optimal,0,0,37.51548081822693,38.57413133299997
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_24.lp,261,441,32.26,0.0,0.0017110375431702123,0.0014212043367691789,0.001280805146695968,optimal,0,0,32.476980520412326,33.475733219000176
gcnn:baseline,60,small,data/instances/facilities/test_100_100_5/instance_24.lp,421,625,39.77,0.0,0.002242680412509432,0.0014228019610570163,0.001264557484103477,optimal,0,0,40.099878715351224,41.21643726599905
gcnn:baseline,80,small,data/instances/facilities/test_100_100_5/instance_24.lp,197,382,26.23,0.0,0.001275998649129471,0.0012137263967164954,0,optimal,0,0,26.15584922209382,27.10458286100038
gcnn:baseline,100,small,data/instances/facilities/test_100_100_5/instance_24.lp,395,560,35.69,0.0,0.002163524117430737,0.0021060911492601937,0.0013704567245445974,optimal,0,0,36.08155598677695,37.18110837200038
gcnn:baseline,20,small,data/instances/facilities/test_100_100_5/instance_25.lp,213,422,33.98,0.0,0.0027182837028762565,0.0023885929797910588,0.0007968214534423891,optimal,0,0,33.94041864015162,34.90383321800073
gcnn:baseline,40,small,data/instances/facilities/test_100_100_5/instance_25.lp,175,324,31.91,0.0,0.002961291383503673,0.002162334581922735,0,optimal,0,0,31.745379591360688,32.68708811000033
