policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,21,259,5.52,0.0,optimal,66,1,5.900224388577044,5.904089316000011
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,95,444,7.09,0.0,optimal,149,0,7.6778072183951735,7.68262803600004
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,35,276,5.63,0.0,optimal,83,0,6.104395196773112,6.107870297999966
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,92,369,5.81,0.0,optimal,108,2,6.358991944231093,6.362334075000035
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,151,509,4.13,0.0,optimal,0,0,4.403339215554297,4.512540290000004
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,129,421,3.55,0.0,optimal,0,0,3.7491948176175356,3.8341913689999956
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,172,651,4.44,0.0,optimal,0,0,4.761785825714469,4.882572699000036
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,155,480,3.88,0.0,optimal,0,0,4.096823464147747,4.191755044999979
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_8/instance_8.lp,172,572,3.94,0.0,optimal,0,0,4.212631615810096,4.3359730750000836
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,27,237,4.17,0.0,optimal,63,0,4.556855462491512,4.5597522509999635
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,39,261,4.11,0.0,optimal,68,2,4.502458151429892,4.505128805000027
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,90,359,4.83,0.0,optimal,100,0,5.314658533781767,5.317906344999983
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,31,228,3.64,0.0,optimal,57,2,3.9469504542648792,3.94926427900009
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,57,294,4.42,0.0,optimal,92,1,4.741603769361973,4.7442345299999715
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,101,318,2.9,0.0,optimal,0,0,3.1079965475946665,3.1768933070000003
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,108,391,2.98,0.0,optimal,0,0,3.188065185211599,3.261163975000045
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,107,386,3.33,0.0,optimal,0,0,3.5775964744389057,3.6507555609999827
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,121,430,3.09,0.0,optimal,0,0,3.2655387921258807,3.3323257499999954
gcnn:baseline,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_9/instance_9.lp,87,367,2.89,0.0,optimal,0,0,3.033209220506251,3.0880975979999903
internal:relpscost,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,36,230,4.15,0.0,optimal,77,2,4.590048301964998,4.592826607999996
internal:relpscost,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,35,261,4.56,0.0,optimal,76,1,4.979668420739472,4.982644500999982
internal:relpscost,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,11,151,4.03,0.0,optimal,34,1,4.352055098861456,4.35476091999999
internal:relpscost,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,17,171,3.49,0.0,optimal,33,0,3.7498791310936213,3.752289188999953
internal:relpscost,100,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,49,229,4.17,0.0,optimal,70,1,4.500110974535346,4.502554044000021
gcnn:baseline,20,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,75,273,2.84,0.0,optimal,0,0,3.037069127894938,3.0814871820000462
gcnn:baseline,40,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,114,338,3.43,0.0,optimal,0,0,3.6804642230272293,3.7654626559999542
gcnn:baseline,60,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,79,288,3.34,0.0,optimal,0,0,3.588241714052856,3.6427704330000097
gcnn:baseline,80,small,../data/instances/setcover/updated_data/test_500r_1000c_0.05d_0mc_0se/instance_10/instance_10.lp,75,273,2.92,0.0,optimal,0,0,3.1302493819966912,3.1848124229999257
